Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1985,29.50,37.00,52.40,67.40,73.90,76.20,82.00,80.00,78.20,66.90,54.30,35.50
1986,36.00,38.30,51.60,65.70,73.30,79.70,83.40,79.20,77.50,64.50,48.70,39.30
1987,34.60,41.40,54.20,60.90,75.40,82.00,85.50,82.30,74.20,58.80,54.80,41.90
1988,35.60,38.60,49.80,60.30,73.00,81.30,88.40,85.40,74.30,56.30,53.60,40.50
1989,43.70,35.80,52.00,57.60,66.40,78.70,83.20,80.90,74.30,65.00,50.60,26.80
1990,44.90,48.00,53.90,62.50,67.10,79.10,81.60,79.90,73.40,65.00,55.90,46.50
1991,37.40,43.70,51.90,64.50,79.60,83.60,86.30,85.10,76.20,67.50,49.40,44.00
1992,37.90,42.30,47.70,61.40,70.20,76.60,81.00,77.60,74.10,61.40,49.80,39.80
1993,40.60,36.30,45.60,61.00,73.00,79.50,85.60,85.10,72.40,62.60,51.00,38.00
1994,29.00,38.70,46.30,65.80,67.00,84.00,83.90,79.10,73.40,64.60,57.50,46.10
1995,38.10,35.50,53.10,59.10,69.80,81.70,85.40,87.80,74.70,67.30,45.80,34.40
1996,35.70,38.40,44.40,61.80,69.00,81.70,80.60,82.20,73.10,63.90,44.00,45.00
1997,36.90,44.50,51.00,58.20,65.50,79.50,83.20,79.30,73.20,64.60,46.10,40.30
1998,44.10,46.40,51.80,62.90,75.30,77.00,82.30,84.10,79.70,64.90,54.40,46.40
1999,40.00,44.30,46.00,64.60,75.00,82.10,88.50,80.70,77.20,64.60,57.20,42.80
2000,37.20,45.60,55.90,61.60,74.30,80.50,79.60,78.70,74.00,66.70,47.70,31.70
2001,35.70,44.30,44.00,66.50,72.00,79.30,81.60,83.50,73.60,65.60,60.00,46.10
2002,43.30,46.00,51.70,64.00,69.50,81.70,86.60,85.90,80.30,60.50,48.20,37.70
2003,29.00,34.40,52.90,65.60,69.10,75.80,81.60,82.70,72.70,62.00,56.50,40.60
2004,30.90,41.10,52.50,61.30,77.20,77.40,80.60,78.60,76.80,64.10,54.60,42.30
2005,39.10,42.20,44.30,65.20,68.10,83.40,86.60,84.30,79.90,63.70,55.50,34.90
2006,47.30,39.80,48.20,66.20,70.20,77.50,83.60,83.60,70.30,60.70,54.60,48.50
2007,40.70,29.30,54.10,57.10,77.40,81.80,81.50,84.10,79.10,70.60,51.40,41.90
2008,38.90,39.20,46.80,65.80,68.00,80.70,82.90,81.00,77.60,62.20,48.70,42.60
2009,30.50,41.00,53.80,63.50,72.10,78.20,78.80,81.40,74.20,60.00,56.60,38.40
2010,32.60,33.10,54.10,68.00,74.40,80.90,86.20,84.80,77.60,64.70,52.90,31.30
2011,31.20,41.30,49.40,63.20,72.80,80.80,87.80,82.70,74.50,61.60,57.60,44.90
2012,41.40,44.10,62.70,61.70,79.00,82.10,87.50,82.90,74.90,63.60,49.10,45.80
2013,39.40,36.70,42.70,63.90,73.70,79.50,82.60,80.10,74.70,64.90,48.20,41.40
2014,31.70,35.00,45.00,64.00,72.70,80.90,80.20,79.90,75.40,63.80,47.10,42.50
2015,33.40,29.00,45.50,63.60,76.90,79.20,82.40,81.50,79.90,63.50,58.90,53.30
2016,36.40,43.30,57.70,63.10,70.30,81.10,85.10,85.70,80.70,67.20,56.10,40.00
2017,42.00,50.40,49.00,67.80,70.40,79.80,82.70,79.80,77.00,68.70,51.20,37.90
2018,34.60,47.80,43.60,56.10,79.00,79.30,84.30,82.10,78.10,63.00,44.60,42.50
2019,36.20,43.40,47.00,64.60,74.40,78.20,84.60,81.80,80.70,67.80,47.60,43.60
2020,42.40,42.30,55.10,57.80,68.70,81.10,88.50,84.60,75.80,63.90,57.40,40.10
2021,36.50,36.10,57.60,63.30,69.70,81.40,82.70,83.90,76.60,69.20,50.40,50.40
