36003021919  31.80  32.60  40.30  49.30  59.60  73.40  74.30  69.10  64.30  59.10  42.00  25.80   
36003021920  22.60  27.40  41.10  46.80  57.70  67.60  69.40  70.10  64.60  56.20  39.80  33.20   
36003021921  31.70  34.30  48.80  55.30  60.90  72.30  76.90  68.60  69.40  52.10  43.40  32.90   
36003021922  26.00  34.70  40.50  51.40  63.20  70.30  72.70  69.50  66.50  53.70  43.00  33.50   
36003021923  30.90  25.80  38.20  47.80  58.90  70.30  71.10  69.60  65.00  49.70  40.90  40.60   
36003021924  26.40  27.20  35.70  47.30  54.40  67.30  69.80  70.50  60.00  52.50  41.00  29.40   
36003021925  27.20  36.60  41.00  52.60  54.70  71.60  71.20  70.00  68.70  45.60  38.40  28.80   
36003021926  27.20  30.10  31.90  43.70  59.60  65.00  72.40  73.00  65.90  51.70  38.70  29.40   
36003021927  27.70  36.10  42.20  48.60  59.40  63.30  72.10  65.40  66.40  55.80  45.30  31.70   
36003021928  28.30  30.60  36.60  45.10  57.60  65.30  72.60  73.20  59.30  55.10  41.60  33.50   
36003021929  25.90  26.40  44.00  51.90  58.40  67.30  72.00  66.90  65.50  50.30  39.00  33.40   
36003021930  29.60  37.10  36.00  50.20  62.00  68.10  73.40  69.80  67.80  49.70  41.00  29.40   
36003021931  30.40  32.30  34.10  48.50  59.40  68.60  76.10  71.60  68.90  55.30  48.80  39.20   
36003021932  39.70  36.50  31.80  47.10  60.40  69.70  72.10  71.80  66.30  53.60  38.70  33.50   
36003021933  36.70  31.10  35.90  50.30  62.80  71.80  73.70  71.50  67.80  51.80  37.80  33.80   
36003021934  31.80  18.00  33.60  48.50  62.70  74.10  76.40  69.20  66.70  52.30  43.90  30.80   
36003021935  29.20  30.30  44.40  47.00  55.70  67.50  75.60  72.00  63.20  53.10  43.20  25.40   
36003021936  22.90  23.10  42.00  45.10  63.00  69.10  74.20  74.20  67.70  54.10  38.30  35.60   
36003021937  38.00  31.40  34.40  47.60  60.60  69.80  72.40  74.40  62.20  50.40  39.30  29.20   
36003021938  29.90  36.80  45.10  51.70  60.00  67.10  74.10  74.10  63.50  54.50  43.70  32.60   
36003021939  32.80  34.10  40.20  46.70  63.30  71.20  71.30  72.40  67.40  54.60  39.10  34.40   
36003021940  16.70  29.40  32.90  45.70  58.60  69.10  72.20  70.60  61.00  51.40  40.00  37.30   
36003021941  27.90  25.50  30.30  54.80  60.80  69.70  73.80  69.30  66.50  56.90  42.80  36.60   
36003021942  27.90  25.30  39.70  53.00  62.50  70.50  73.30  70.10  63.90  54.60  41.60  27.80   
36003021943  29.50  30.70  37.00  43.80  60.80  73.90  73.00  70.70  62.00  49.70  37.80  28.80   
36003021944  31.20  31.30  35.20  47.20  67.80  71.50  73.20  72.10  64.00  52.10  41.40  26.30   
36003021945  21.30  31.00  48.60  53.30  56.00  67.80  72.80  71.00  67.00  51.30  42.00  25.70   
36003021946  30.10  31.30  48.60  48.20  59.20  67.80  72.00  66.60  65.30  56.10  44.70  35.10   
36003021947  35.00  21.80  31.20  51.00  58.20  67.80  69.70  76.00  65.60  59.70  38.10  31.20   
36003021948  20.10  31.40  41.90  53.20  59.10  69.00  73.00  70.60  65.20  49.40  46.20  34.10   
36003021949  37.10  36.80  38.90  47.90  61.20  71.80  75.80  71.90  60.00  58.00  40.70  34.80   
36003021950  40.00  31.40  33.70  44.60  60.60  67.00  69.60  69.20  62.70  55.70  37.20  26.40   
36003021951  31.70  32.30  38.40  48.00  61.00  69.20  72.70  70.30  63.20  56.10  35.90  33.00   
36003021952  33.50  33.60  37.40  50.80  58.10  71.50  75.50  71.00  64.00  48.50  43.40  34.10   
36003021953  35.10  34.20  40.20  47.20  63.40  70.60  73.20  71.40  64.40  54.50  42.60  34.40   
36003021954  29.30  36.60  36.30  55.50  56.20  69.00  71.60  69.50  66.00  54.90  40.60  30.40   
36003021955  26.50  31.20  39.90  55.50  62.00  64.50  76.40  74.00  65.70  53.20  38.00  28.40   
